Sr. No,Symbol,Company Name,"Market capitalization as on December 31, 2023
(In Lakhs)"
484,METROPOLIS,Metropolis Healthcare Limited,859608.742711
485,KRBL,KRBL Limited,858565.984892
486,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,857659.78305
487,RATEGAIN,Rategain Travel Technologies Limited,857186.9230139999
488,CCL,CCL Products (India) Limited,856367.235
489,CAMPUS,Campus Activewear Limited,854563.5309145
490,VIPIND,VIP Industries Limited,848277.27669
491,MAHSCOOTER,Maharashtra Scooters Limited,847919.745624
492,VARROC,Varroc Engineering Limited,846742.2288
493,SURYAROSNI,Surya Roshni Limited,845569.864934
494,MAHLIFE,Mahindra Lifespace Developers Limited,842169.4929525
495,GAEL,Gujarat Ambuja Exports Limited,841775.328765
496,RELINFRA,Reliance Infrastructure Limited,831083.245012
497,BALRAMCHIN,Balrampur Chini Mills Limited,828079.7761025
498,IONEXCHANG,ION Exchange (India) Limited,824559.56898
499,KFINTECH,Kfin Technologies Limited,822489.718947
500,HOMEFIRST,Home First Finance Company India Limited,821762.268234
501,PGHL,Procter & Gamble Health Limited,821295.922905
502,PRINCEPIPE,Prince Pipes And Fittings Limited,821192.4142725
503,RESPONIND,Responsive Industries Limited,818220.88185
504,PTCIL,PTC Industries Limited,813755.7633855001
505,KTKBANK,The Karnataka Bank Limited,811563.5137814999
506,JUBLINGREA,Jubilant Ingrevia Limited,810103.8729539999
507,GLS,Glenmark Life Sciences Limited,805064.783626
508,MANINFRA,Man Infraconstruction Limited,804499.627635
509,SPANDANA,Spandana Sphoorty Financial Limited,803136.519143
510,INDIACEM,The India Cements Limited,802323.8533889999
511,ACI,Archean Chemical Industries Limited,801710.107593
512,INOXINDIA,INOX India Limited,801078.651
513,LXCHEM,Laxmi Organic Industries Limited,799298.326549
514,TMB,Tamilnad Mercantile Bank Limited,798803.909703
515,CHEMPLASTS,Chemplast Sanmar Limited,790468.815213
516,ALLCARGO,Allcargo Logistics Limited,790402.500708
517,EMIL,Electronics Mart India Limited,786426.469528
518,SANDUMA,Sandur Manganese & Iron Ores Limited,784586.6727075
519,MIDHANI,Mishra Dhatu Nigam Limited,783362.21
520,QUESS,Quess Corp Limited,776467.37444
521,TEGA,Tega Industries Limited,765529.65504
522,MHRIL,Mahindra Holidays & Resorts India Limited,765343.12121
523,SHOPERSTOP,Shoppers Stop Limited,759645.16307
524,DOMS,DOMS Industries Limited,759075.947888
525,SCI,Shipping Corporation Of India Limited,758786.58729
526,GRAVITA,Gravita India Limited,756759.0943110001
527,TRIVENI,Triveni Engineering & Industries Limited,754541.2956960001
528,GPPL,Gujarat Pipavav Port Limited,739904.782255
529,HEG,HEG Limited,736537.338751
530,EDELWEISS,Edelweiss Financial Services Limited,734697.5231160001
531,DBREALTY,D B Realty Limited,730678.9553919999
532,MARKSANS,Marksans Pharma Limited,730247.673618
533,RUSTOMJEE,Keystone Realtors Limited,729063.108246
534,VESUVIUS,Vesuvius India Limited,728913.41712
535,STARCEMENT,Star Cement Limited,727524.750708
536,PDSL,PDS Limited,726346.770968
537,CSBBANK,CSB Bank Limited,726298.4147355
538,IFCI,IFCI Limited,725722.4410645
539,GMMPFAUDLR,GMM Pfaudler Limited,724665.493656
540,ISGEC,Isgec Heavy Engineering Limited,721618.61114
541,KNRCON,KNR Constructions Limited,721226.1317
542,EASEMYTRIP,Easy Trip Planners Limited,715018.389363
543,SAREGAMA,Saregama India Limited,714744.77943
544,JLHL,Jupiter Life Line Hospitals Limited,714604.0737780001
545,INDIGOPNTS,Indigo Paints Limited,709597.56791
546,LTFOODS,LT Foods Limited,705617.982208
547,KIRLOSBROS,Kirloskar Brothers Limited,705190.967343
548,RELIGARE,Religare Enterprises Limited,702629.2425975
549,JAICORPLTD,Jai Corp Limited,693186.733145
550,VIJAYA,Vijaya Diagnostic Centre Limited,691299.473723
551,JKPAPER,JK Paper Limited,689128.735392
552,UJJIVAN,Ujjivan Financial Services Limited,687948.82704
553,ROLEXRINGS,Rolex Rings Limited,686333.9290240001
554,GARFIBRES,Garware Technical Fibres Limited,685929.16854
555,ARVIND,Arvind Limited,683967.511773
556,JUSTDIAL,Just Dial Limited,682097.880954
557,GREENLAM,Greenlam Industries Limited,680734.068936
558,VRLLOG,VRL Logistics Limited,680642.4572275
559,MTARTECH,Mtar Technologies Limited,679264.048053
560,NEULANDLAB,Neuland Laboratories Limited,678880.746546
561,POWERMECH,Power Mech Projects Limited,677466.000903
562,GOCOLORS,Go Fashion (India) Limited,676030.452728
563,ZENTEC,Zen Technologies Limited,667815.68996
564,NETWEB,Netweb Technologies India Limited,665799.66999
565,SIS,SIS LIMITED,662082.068879
566,VOLTAMP,Voltamp Transformers Limited,659696.92672
567,ELECTCAST,Electrosteel Castings Limited,658228.008429
568,BECTORFOOD,Mrs. Bectors Food Specialities Limited,657579.35932
569,VAIBHAVGBL,Vaibhav Global Limited,656754.382914
570,TEXRAIL,Texmaco Rail & Engineering Limited,656083.449105
571,SUNTECK,Sunteck Realty Limited,652664.4387935
572,RSYSTEMS,R Systems International Limited,649604.216495
573,REDTAPE,Redtape Limited,649548.93
574,IWEL,Inox Wind Energy Limited,645930.626395
575,FDC,FDC Limited,645460.578018
576,EPL,EPL Limited,642903.303381
577,SHRIPISTON,Shriram Pistons & Rings Limited,641365.43744
578,TCI,Transport Corporation of India Limited,639076.3709
579,THOMASCOOK,Thomas Cook  (India)  Limited,639011.9934769999
580,BLUEJET,Blue Jet Healthcare Limited,638526.229425
581,NAVA,NAVA LIMITED,635903.546035
582,HNDFDS,Hindustan Foods Limited,631810.03476
583,MOIL,MOIL Limited,628769.30199
584,NESCO,Nesco Limited,621950.06692
585,PGEL,PG Electroplast Limited,617720.97372
586,SYMPHONY,Symphony Limited,612823.32
587,WOCKPHARMA,Wockhardt Limited,611494.6006755
588,ICIL,Indo Count Industries Limited,609710.28569
589,SHAREINDIA,Share India Securities Limited,609200.06628
590,INDIASHLTR,India Shelter Finance Corporation Limited,608746.284864
591,JINDWORLD,Jindal Worldwide Limited,608378.8936
592,TATACOFFEE,Tata Coffee Limited,599159.34696
593,CMSINFO,CMS Info Systems Limited,598810.795224
594,GENUSPOWER,Genus Power Infrastructures Limited,597719.91408
595,INFIBEAM,Infibeam Avenues Limited,597350.60049
596,STAR,Strides Pharma Science Limited,596533.26327
597,NIITMTS,NIIT Learning Systems Limited,591753.3513875
598,UTKARSHBNK,Utkarsh Small Finance Bank Limited,591151.8466545
599,TIIL,Technocraft Industries (India) Limited,582515.037503
600,FUSION,Fusion Micro Finance Limited,582301.67314
601,BORORENEW,BOROSIL RENEWABLES LIMITED,574213.765205
602,ASKAUTOLTD,ASK Automotive Limited,572699.253
603,ASTRAMICRO,Astra Microwave Products Limited,572613.343248
604,AVANTIFEED,Avanti Feeds Limited,572299.768815
605,JSWHL,JSW Holdings Limited,570814.8650625
606,GUJALKALI,Gujarat Alkalies and Chemicals Limited,570485.917235
607,STLTECH,Sterlite Technologies Limited,569844.917964
608,NAZARA,Nazara Technologies Limited,566880.359118
609,GABRIEL,Gabriel India Limited,564664.32814
610,SUPRAJIT,Suprajit Engineering Limited,562803.8538775
611,PTC,PTC India Limited,562563.8140605
612,DBL,Dilip Buildcon Limited,562488.993437
613,SOUTHBANK,The South Indian Bank Limited,558761.851806
614,GHCL,GHCL Limited,555353.41666
615,RBA,Restaurant Brands Asia Limited,554802.342666
616,PARADEEP,Paradeep Phosphates Limited,552800.7188605
617,HGINFRA,H.G. Infra Engineering Limited,552357.7512805001
618,ICRA,ICRA Limited,552026.2851225
619,RAMKY,Ramky Infrastructure Limited,547908.109138
620,KESORAMIND,Kesoram Industries Limited,547503.215025
621,SANSERA,Sansera Engineering Limited,546012.5091
622,ARVINDFASN,Arvind Fashions Limited,545213.0635444999
623,SENCO,Senco Gold Limited,541040.376274
624,AURIONPRO,Aurionpro Solutions Limited,540176.51172
625,TEAMLEASE,Teamlease Services Limited,536277.80645
626,CYIENTDLM,Cyient DLM Limited,535118.07169
627,AGI,AGI Greenpac Limited,534465.064441
628,KPIGREEN,KPI Green Energy Limited,530392.919
629,HEIDELBERG,HeidelbergCement India Limited,527328.720932
630,TCIEXP,TCI Express Limited,526882.90584
631,VSTIND,VST Industries Limited,526067.6096
632,GREENPANEL,Greenpanel Industries Limited,525090.50539
633,DODLA,Dodla Dairy Limited,522465.19877
634,AHLUCONT,Ahluwalia Contracts (India) Limited,519488.5278
635,RAIN,Rain Industries Limited,518981.382697
636,GATEWAY,Gateway Distriparks Limited,518630.301768
637,ORIENTCEM,Orient Cement Limited,514425.45636
638,ETHOSLTD,Ethos Limited,511335.2531625
639,HCG,Healthcare Global Enterprises Limited,509065.793985
640,FEDFINA,Fedbank Financial Services Limited,502377.1987605
641,GOKEX,Gokaldas Exports Limited,500920.688946
642,PRUDENT,Prudent Corporate Advisory Services Limited,498080.95372
643,ITDCEM,ITD Cementation India Limited,490711.233696
644,BBOX,Black Box Limited,488854.272015
645,JPASSOCIAT,Jaiprakash Associates Limited,486009.93672
646,RALLIS,Rallis India Limited,485880.521665
647,ORIENTELEC,Orient Electric Limited,484233.9077805
648,RTNPOWER,RattanIndia Power Limited,483309.5274
649,DHANUKA,Dhanuka Agritech Limited,481762.88468
650,WSTCSTPAPR,West Coast Paper Mills Limited,481760.73495199997
651,WONDERLA,Wonderla Holidays Limited,476941.36582949996
652,DBCORP,D.B.Corp Limited,475996.835259
653,MASFIN,MAS Financial Services Limited,475423.1189925
654,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,472773.98196
655,IBREALEST,Indiabulls Real Estate Limited,472070.0509665
656,KKCL,Kewal Kiran Clothing Limited,472048.9171
657,MSTCLTD,Mstc Limited,471116.8
658,TINPLATE,The Tinplate Company of India Limited,470585.70044800005
659,PATELENG,Patel Engineering Limited,465330.762642
660,TI,Tilaknagar Industries Limited,463537.446269
661,PRICOLLTD,Pricol Limited,462966.87015300005
662,SHANTIGEAR,Shanthi Gears Limited,460678.697265
663,HGS,Hinduja Global Solutions Limited,460364.74036
664,PRIVISCL,Privi Speciality Chemicals Limited,459475.079325
665,CHOICEIN,Choice International Limited,458003.98
666,AARTIPHARM,Aarti Pharmalabs Limited,457162.897356
667,BANCOINDIA,Banco Products (I) Limited,457111.451475
668,MAXESTATES,Max Estates Limited,456558.49003199994
669,NOCIL,NOCIL Limited,455859.3260275
670,JAYNECOIND,Jayaswal Neco Industries Limited,454912.67731400003
671,WELENT,Welspun Enterprises Limited,451575.055125
672,AARTIDRUGS,Aarti Drugs Limited,449746.02
673,IIFLSEC,IIFL Securities Limited,449184.491448
674,NFL,National Fertilizers Limited,448879.236
675,JAMNAAUTO,Jamna Auto Industries Limited,445495.215545
676,PURVA,Puravankara Limited,443232.763134
677,ROSSARI,Rossari Biotech Limited,441423.416764
678,TIPSINDLTD,TIPS Industries Limited,439090.51121
679,JKIL,J.Kumar Infraprojects Limited,436816.966138
680,HEMIPROP,Hemisphere Properties India Limited,436620
681,GALLANTT,Gallantt Ispat Limited,433823.13911
682,HCC,Hindustan Construction Company Limited,432726.077784
683,MUTHOOTMF,Muthoot Microfin Limited,428191.10002400004
684,DATAMATICS,Datamatics Global Services Limited,427336.687275
685,ORISSAMINE,The Orissa Minerals Development Company Limited,425637
686,JISLJALEQS,Jain Irrigation Systems Limited,423508.1674545
687,KALAMANDIR,Sai Silks (Kalamandir) Limited,421756.808
688,SULA,Sula Vineyards Limited,420732.150565
689,HMAAGRO,HMA Agro Industries Limited,420646.6068
690,ADVENZYMES,Advanced Enzyme Technologies Limited,419731.6655125
691,IPL,India Pesticides Limited,419310.332628
692,SINDHUTRAD,Sindhu Trade Links Limited,416320.7706
693,DCBBANK,DCB Bank Limited,414644.29791150003
694,PAISALO,Paisalo Digital Limited,414447.29677
695,AMIORG,Ami Organics Limited,413799.90564
696,LAOPALA,La Opala RG Limited,412476
697,THANGAMAYL,Thangamayil Jewellery Limited,409213.972314
698,AZAD,Azad Engineering Limited,409091.4680565
699,SHARDACROP,Sharda Cropchem Limited,408518.40136
700,SSWL,Steel Strips Wheels Limited,406760.8104
701,TDPOWERSYS,TD Power Systems Limited,406120.3476505
702,JTLIND,JTL INDUSTRIES LIMITED,406021.50904
703,EPIGRAL,Epigral Limited,405965.818739
704,TIMETECHNO,Time Technoplast Limited,400983.65962199995
705,TARC,TARC Limited,400445.726595
706,FCL,Fineotex Chemical Limited,400134.04146
707,VMART,V-Mart Retail Limited,396462.001375
708,RAJRATAN,Rajratan Global Wire Limited,396216.884
709,LGBBROSLTD,LG Balakrishnan & Bros Limited,394995.07432
710,NUCLEUS,Nucleus Software Exports Limited,393099.32963
711,LUXIND,Lux Industries Limited,390931.853
712,ASHOKA,Ashoka Buildcon Limited,390907.0796725
713,DELTACORP,Delta Corp Limited,390811.9160715
714,BCG,Brightcom Group Limited,390467.8824255
715,NEOGEN,Neogen Chemicals Limited,390461.96603699995
716,WABAG,VA Tech Wabag Limited,390431.50698400004
717,KIRLPNU,Kirloskar Pneumatic Company Limited,390087.07176
718,SHARDAMOTR,Sharda Motor Industries Limited,388458.611765
719,JTEKTINDIA,Jtekt India Limited,388112.7445375
720,ITDC,India Tourism Development Corporation Limited,386948.6481
721,BOROLTD,Borosil Limited,386084.3691025
722,ASHAPURMIN,Ashapura Minechem Limited,385156.47258
723,IFBIND,IFB Industries Limited,380653.82902199996
724,SUDARSCHEM,Sudarshan Chemical Industries Limited,380057.6025
725,SUNFLAG,Sunflag Iron And Steel Company Limited,377289.41438800003
726,HATHWAY,Hathway Cable & Datacom Limited,375262.154
727,HIKAL,Hikal Limited,374772.629625
728,TATVA,Tatva Chintan Pharma Chem Limited,374693.93699
729,BALMLAWRIE,Balmer Lawrie & Company Limited,374241.91697099997
730,BHARATRAS,Bharat Rasayan Limited,374138.253086
731,KOLTEPATIL,Kolte - Patil Developers Limited,371357.542374
732,HLEGLAS,HLE Glascoat Limited,368565.32652
733,HINDWAREAP,Hindware Home Innovation Limited,367916.354155
734,FLAIR,Flair Writing Industries Limited,367460.985397
735,INDOCO,Indoco Remedies Limited,364178.20296
736,SAMHI,Samhi Hotels Limited,362919.80012699997
737,AVALON,Avalon Technologies Limited,361719.411834
738,ORCHPHARMA,Orchid Pharma Limited,361373.623125
739,HARSHA,Harsha Engineers International Limited,357894.376755
740,KDDL,KDDL Limited,356254.71667199995
741,BAJAJHIND,Bajaj Hindusthan Sugar Limited,355106.063876
742,SANGHVIMOV,Sanghvi Movers Limited,354095.84
743,ESAFSFB,ESAF Small Finance Bank Limited,353653.762446
744,SUBROS,Subros Limited,353479.911375
745,PILANIINVS,Pilani Investment and Industries Corporation Limited,352806.174
746,GULFOILLUB,Gulf Oil Lubricants India Limited,352562.8203345
747,GREAVESCOT,Greaves Cotton Limited,352523.95289550006
748,EMUDHRA,eMudhra Limited,352496.755065
749,IDEAFORGE,Ideaforge Technology Limited,350450.50388449995
750,KIRLOSIND,Kirloskar Industries Limited,349405.2601725
751,UFLEX,UFLEX Limited,348709.265894
752,GANESHHOUC,Ganesh Housing Corporation Limited,347348.923395
753,DYNAMATECH,Dynamatic Technologies Limited,347232.897704
754,MAITHANALL,Maithan Alloys Limited,346631.22585
755,TVSSRICHAK,TVS Srichakra Limited,346420.2561
756,LANDMARK,Landmark Cars Limited,342989.289918
757,KSCL,Kaveri Seed Company Limited,342577.12445400003
758,NAVNETEDUL,Navneet Education Limited,341808.116491
759,TASTYBITE,Tasty Bite Eatables Limited,341507.657
760,THYROCARE,Thyrocare Technologies Limited,340776.946398
761,SAKSOFT,Saksoft Limited,339278.1795
762,TATAMETALI,Tata Metaliks Limited,339173.9275
763,GMRP&UI,GMR Power and Urban Infra Limited,338918.32747200003
764,DISHTV,Dish TV India Limited,336949.857882
765,CARTRADE,Cartrade Tech Limited,334374.280929
766,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,333996.0338295
767,NILKAMAL,Nilkamal Limited,333988.4932875
768,SAGCEM,Sagar Cements Limited,332846.770982
769,DCXINDIA,DCX Systems Limited,330117.889123
770,POLYPLEX,Polyplex Corporation Limited,330044.64923700003
771,TRIL,Transformers And Rectifiers (India) Limited,329822.0939335
772,SANGHIIND,Sanghi Industries Limited,327815.694
773,SHALBY,Shalby Limited,326837.56402
774,VSTTILLERS,V.S.T Tillers Tractors Limited,326427.286424
775,GRWRHITECH,Garware Hi-Tech Films Limited,325694.93148599996
776,NRBBEARING,NRB Bearing Limited,325514.5521
777,SUNDARMHLD,Sundaram Finance Holdings Limited,324382.68753
778,AUTOAXLES,Automotive Axles Limited,324227.423625
779,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,323955.8542255
780,BANARISUG,Bannari Amman Sugars Limited,320608.77975
781,GENSOL,Gensol Engineering Limited,320234.2805835
782,BOMDYEING,Bombay Dyeing & Mfg Company Limited,318063.746
783,PFOCUS,Prime Focus Limited,317958.147606
784,GUFICBIO,Gufic Biosciences Limited,317328.167737
785,SBCL,Shivalik Bimetal Controls Limited,317139.9231
786,BAJAJCON,Bajaj Consumer Care Limited,313241.948388
787,INNOVACAP,Innova Captab Limited,309815.765606
788,INOXGREEN,Inox Green Energy Services Limited,308579.906
789,SUNCLAY,Sundaram Clayton Limited,305858.83222
790,SOMANYCERA,Somany Ceramics Limited,304625.019776
791,MOLDTKPAC,Mold-Tek Packaging Limited,303914.983464
792,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,303504.647208
793,DIVGIITTS,Divgi Torqtransfer Systems Limited,299942.0565525
794,PRAKASH,Prakash Industries Limited,299424.834808
795,APOLLO,Apollo Micro Systems Limited,299299.77097
796,SANDHAR,Sandhar Technologies Limited,296860.571856
797,GREENPLY,Greenply Industries Limited,295001.592075
798,SWARAJENG,Swaraj Engines Limited,294303.69414
799,WENDT,Wendt (India) Limited,293255
800,STYLAMIND,Stylam Industries Limited,291811.69708
801,CIGNITITEC,Cigniti Technologies Limited,291291.89628
802,MPSLTD,MPS Limited,290516.626036
803,IFGLEXPOR,IFGL Refractories Limited,288098.260128
804,KINGFA,Kingfa Science & Technology (India) Limited,287817.216126
805,SHILPAMED,Shilpa Medicare Limited,286706.669094
806,DREAMFOLKS,Dreamfolks Services Limited,286605.05436
807,SEPC,SEPC Limited,286133.426607
808,IMAGICAA,Imagicaaworld Entertainment Limited,286007.6755205
809,UNICHEMLAB,Unichem Laboratories Limited,285776.93925
810,MUKANDLTD,Mukand Limited,285739.9758325
811,VENUSPIPES,Venus Pipes & Tubes Limited,284257.168605
812,SEQUENT,Sequent Scientific Limited,283730.6005625
813,CARERATING,CARE Ratings Limited,283319.34462
814,PGIL,Pearl Global Industries Limited,282837.4071495
815,HERITGFOOD,Heritage Foods Limited,281450.268
816,BSHSL,Bombay Super Hybrid Seeds Limited,280812.16128
817,TARSONS,Tarsons Products Limited,280556.719713
818,PARAS,Paras Defence and Space Technologies Limited,280371.43852900004
819,MAHLOG,Mahindra Logistics Limited,279392.2116535
820,JINDALPOLY,Jindal Poly Films Limited,277671.5380395
821,FIEMIND,Fiem Industries Limited,276060.333825
822,PSPPROJECT,PSP Projects Limited,275940
823,ISMTLTD,ISMT Limited,275409.5175195
824,VENKEYS,Venky's (India) Limited,274900.25519
825,BBL,Bharat Bijlee Limited,273125.7659
826,PARAGMILK,Parag Milk Foods Limited,272722.7665635
827,DEN,Den Networks Limited,272494.815495
828,ZAGGLE,Zaggle Prepaid Ocean Services Limited,272092.625203
829,IOLCP,IOL Chemicals and Pharmaceuticals Limited,271982.590766
830,ASHIANA,Ashiana Housing Limited,271970.00061349996
831,PFS,PTC India Financial Services Limited,269759.0007
832,ANUP,The Anup Engineering Limited,269593.19115
833,IMFA,Indian Metals & Ferro Alloys Limited,269419.82831099996
834,APOLLOPIPE,Apollo Pipes Limited,269417.875203
835,VPRPL,Vishnu Prakash R Punglia Limited,269168.718
836,DCAL,Dishman Carbogen Amcis Limited,268020.7009025
837,GANDHAR,Gandhar Oil Refinery (India) Limited,267135.67914900003
838,GOODLUCK,Goodluck India Limited,266733.065625
839,OPTIEMUS,Optiemus Infracom Limited,266500.72086400003
840,SEAMECLTD,Seamec Limited,265920.075
841,SATIN,Satin Creditcare Network Limited,265351.25793
842,APCOTEXIND,Apcotex Industries Limited,264253.76112
843,GIPCL,Gujarat Industries Power Company Limited,263479.569496
844,LUMAXTECH,Lumax Auto Technologies Limited,262747.952775
845,DOLLAR,Dollar Industries Limited,262141.90664
846,BARBEQUE,Barbeque Nation Hospitality Limited,261050.04891450002
847,UNIPARTS,Uniparts India Limited,260850.554361
848,VINDHYATEL,Vindhya Telelinks Limited,259433.1673645
849,MBAPL,Madhya Bharat Agro Products Limited,259069.04811
850,GOCLCORP,GOCL Corporation Limited,257033.36065
851,DIAMONDYD,Prataap Snacks Limited,255774.82624
852,CONFIPET,Confidence Petroleum India Limited,255263.163008
853,STYRENIX,Styrenix Performance Materials Limited,253874.8753125
854,SUPRIYA,Supriya Lifescience Limited,253319.613
855,EVEREADY,Eveready Industries India Limited,251606.95049
856,GLOBUSSPR,Globus Spirits Limited,251563.20976599999
857,BEPL,Bhansali Engineering Polymers Limited,250849.32768
858,UGROCAP,Ugro Capital Limited,249557.116538
859,MOREPENLAB,Morepen Laboratories Limited,248172.407734
860,MAYURUNIQ,Mayur Uniquoters Ltd,247694.8773
861,HMT,HMT Limited,247428.23609
862,MUFIN,Mufin Green Finance Limited,247330.09173599997
863,TIDEWATER,Tide Water Oil Company (India) Limited,246401.496
864,IKIO,IKIO Lighting Limited,246023.1116335
865,REPCOHOME,Repco Home Finance Limited,245490.784488
866,AXISCADES,AXISCADES Technologies Limited,245144.0253845
867,FOSECOIND,Foseco India Limited,244764.23440450002
868,ARTEMISMED,Artemis Medicare Services Limited,244752.69075
869,SOTL,Savita Oil Technologies Limited,243268.0110075
870,ANDHRAPAP,ANDHRA PAPER LIMITED,242537.58284150003
871,SIYSIL,Siyaram Silk Mills Limited,242525.805404
872,HONDAPOWER,Honda India Power Products Limited,242475.18379049998
873,HINDOILEXP,Hindustan Oil Exploration Company Limited,240974.06745
874,INDIAGLYCO,India Glycols Limited,237768.83925
875,TCNSBRANDS,TCNS Clothing Co. Limited,237356.99709
876,PRECAM,Precision Camshafts Limited,236799.686655
877,EMSLIMITED,EMS Limited,235672.744908
878,SKIPPER,Skipper Limited,234652.769526
879,DHANI,Dhani Services Limited,234054.535532
880,MMFL,MM Forgings Limited,233598.4512
881,VISHNU,Vishnu Chemicals Limited,233538.92298
882,ALEMBICLTD,Alembic Limited,232387.55434
883,LUMAXIND,Lumax Industries Limited,231800.38427
884,KRSNAA,Krsnaa Diagnostics Limited,227965.72678
885,CAMLINFINE,Camlin Fine Sciences Limited,227403.62790599998
886,YATRA,Yatra Online Limited,226900.81507799999
887,MANORAMA,Manorama Industries Limited,226184.354655
888,PITTIENG,Pitti Engineering Limited,226145.27275200002
889,TIRUMALCHM,Thirumalai Chemicals Limited,224793.11746
890,UDS,Updater Services Limited,224754.70721599998
891,SIRCA,Sirca Paints India Limited,224633.8668
892,SESHAPAPER,Seshasayee Paper and Boards Limited,223355.81781
893,BFUTILITIE,BF Utilities Limited,222804.01962
894,RISHABH,Rishabh Instruments Limited,221257.775103
895,IRMENERGY,IRM Energy Limited,220962.65177549998
896,RPGLIFE,RPG Life Sciences Limited,220936.4318775
897,CARYSIL,CARYSIL LIMITED,220453.76053
898,SDBL,Som Distilleries & Breweries Limited,220439.9331
899,ADFFOODS,ADF Foods Limited,219891.9853925
900,ORIENTHOT,Oriental Hotels Limited,218158.89837
901,FILATEX,Filatex India Limited,218154.97825
902,PCJEWELLER,PC Jeweller Limited,217343.619432
903,63MOONS,63 moons technologies limited,217237.2626865
904,FINOPB,Fino Payments Bank Limited,217147.72106900002
905,EVERESTIND,Everest Industries Limited,217072.18310400003
906,RPSGVENT,RPSG VENTURES LIMITED,216761.299105
907,HUHTAMAKI,Huhtamaki India Limited,216672.428646
908,PRECWIRE,Precision Wires India Limited,215193.5308875
909,GTPL,GTPL Hathway Limited,214916.86561799998
910,ASTEC,Astec LifeSciences Limited,214769.828715
911,XPROINDIA,Xpro India Limited,214515.741087
912,SADHNANIQ,Sadhana Nitrochem Limited,214076.15039099997
913,GANECOS,Ganesha Ecosphere Limited,214026.3228865
914,GREENPOWER,Orient Green Power Company Limited,213797.82698599997
915,JINDRILL,Jindal Drilling And Industries Limited,213561.755376
916,RUPA,Rupa & Company Limited,213483.68132
917,SANGAMIND,Sangam (India) Limited,213472.50591150002
918,ARMANFIN,Arman Financial Services Limited,212349.41211200002
919,ATFL,Agro Tech Foods Limited,212170.99701599998
920,HIL,HIL Limited,212170.73426400003
921,MTNL,Mahanagar Telephone Nigam Limited,211995
922,KSL,Kalyani Steels Limited,211520.90223
923,ACCELYA,Accelya Solutions India Limited,211303.61384650003
924,SASKEN,Sasken Technologies Limited,210915.3807585
925,BHARATWIRE,Bharat Wire Ropes Limited,210127.64157
926,SHRIRAMPPS,Shriram Properties Limited,208054.919689
927,INDOSTAR,IndoStar Capital Finance Limited,207965.321733
928,SALASAR,Salasar Techno Engineering Limited,207576.2216
929,VIDHIING,Vidhi Specialty Food Ingredients Limited,207471.53
930,TNPL,Tamil Nadu Newsprint & Papers Limited,207181.9311
931,PARACABLES,Paramount Communications Limited,206411.943035
932,KIRIINDUS,Kiri Industries Limited,206403.828202
933,TCPLPACK,TCPL Packaging Limited,205905.7
934,ADORWELD,Ador Welding Limited,205704.010309
935,MANGLMCEM,Mangalam Cement Limited,205171.089027
936,JAGRAN,Jagran Prakashan Limited,203833.225728
937,RIIL,Reliance Industrial Infrastructure Limited,203570.65
938,SPECTRUM,Spectrum Electrical Industries Limited,202809.97384
939,EXPLEOSOL,Expleo Solutions Limited,201593.6497405
940,BFINVEST,BF Investment Limited,201333.47166
941,SHK,S H Kelkar and Company Limited,201333.0550545
942,PANAMAPET,Panama Petrochem Limited,200778.251762
943,VAKRANGEE,Vakrangee Limited,200777.768455
944,FMGOETZE,Federal-Mogul Goetze (India) Limited.,200637.276845
945,AEROFLEX,Aeroflex Industries Limited,200446.5735
946,TTKHLTCARE,TTK Healthcare Limited,200276.2747755
947,INSECTICID,Insecticides (India) Limited,200199.76946799998
948,VERANDA,Veranda Learning Solutions Limited,198596.95702
949,THEJO,Thejo Engineering Limited,198188.09812349998
950,KCP,KCP Limited,198151.82292
951,MOL,Meghmani Organics Limited,197856.456158
952,CANTABIL,Cantabil Retail India Limited,196706.85738
953,THEMISMED,Themis Medicare Limited,196663.1949
954,MARATHON,Marathon Nextgen Realty Limited,195917.279787
955,ARVSMART,Arvind SmartSpaces Limited,194728.2297525
956,QUICKHEAL,Quick Heal Technologies Limited,192642.347352
957,SJS,S.J.S. Enterprises Limited,192062.549952
958,SMLISUZU,SML Isuzu Limited,191336.867589
959,GNA,GNA Axles Limited,191084.9908
960,SUBEXLTD,Subex Limited,190799.9964325
961,DPSCLTD,DPSC Limited,190375.87462
962,RAMCOIND,Ramco Industries Limited,188332.25567
963,JASH,Jash Engineering Limited,188196.662952
964,SHAKTIPUMP,Shakti Pumps (India) Limited,188120.89666
965,MUFTI,Credo Brands Marketing Limited,187439.9802
966,GEOJITFSL,Geojit Financial Services Limited,187009.92375
967,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,185938.3906245
968,YASHO,Yasho Industries Limited,185829.7584
969,TALBROAUTO,Talbros Automotive Components Limited,184505.44035
970,CAPACITE,Capacit'e Infraprojects Limited,184111.91199099997
971,RANEHOLDIN,Rane Holdings Limited,183505.5401725
972,GOKULAGRO,Gokul Agro Resources Limited,183101.307278
973,GOLDIAM,Goldiam International Limited,182139.080571
974,VADILALIND,Vadilal Industries Limited,181794.59636
